schema,position,feature,source_package,source_version,component,upstream_field,family,type,unit,interpretation,configuration,definition,requirements,missing_behavior,source_url
writing_features_v2,1,n_tokens,textdescriptives,2.8.4,descriptive_stats,n_tokens,length_productivity,integer,tokens,Larger means more filtered tokens; not strictly a word count,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; len(F),English tokenizer,0 when F is empty,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
writing_features_v2,2,proportion_unique_tokens,textdescriptives,2.8.4,descriptive_stats,proportion_unique_tokens,lexical_diversity,double,proportion,Larger means more distinct lowercased forms per filtered token; length-sensitive,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; number of distinct token.lower_ / len(F),English tokenizer,NA when F is empty,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
writing_features_v2,3,token_length_mean,textdescriptives,2.8.4,descriptive_stats,token_length_mean,lexical_surface_complexity,double,characters per token,Larger means longer filtered tokens,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; mean of len(token),English tokenizer,NA when F is empty; one token has SD 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
writing_features_v2,4,token_length_std,textdescriptives,2.8.4,descriptive_stats,token_length_std,lexical_surface_complexity,double,characters,Larger means greater variation in filtered token length,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; population SD (ddof=0) of len(token),English tokenizer,NA when F is empty; one token has SD 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
writing_features_v2,5,sentence_length_mean,textdescriptives,2.8.4,descriptive_stats,sentence_length_mean,sentence_syntactic_complexity,double,tokens per sentence,Larger means longer sentences,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; mean of len(F within sentence) across doc.sents,English tokenizer; SENT_START from model parser,NA when no sentences; a punctuation-only sentence has length 0; one sentence has SD 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
writing_features_v2,6,sentence_length_std,textdescriptives,2.8.4,descriptive_stats,sentence_length_std,sentence_syntactic_complexity,double,tokens,Larger means greater sentence-length variation,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged,F = spaCy tokens with is_punct false and no ASCII apostrophe anywhere in token.text; whitespace tokens remain; population SD (ddof=0) of len(F within sentence) across doc.sents,English tokenizer; SENT_START from model parser,NA when no sentences; a punctuation-only sentence has length 0; one sentence has SD 0,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/descriptive_stats.html
writing_features_v2,7,pos_prop_noun,textdescriptives,2.8.4,pos_proportions,pos_prop_NOUN,pos_composition,double,proportion,Larger means a larger share of NOUN tokens; no universal quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; use_pos=True; add_all_tags=True,Count token.pos_ == NOUN divided by len(doc); denominator includes punctuation and whitespace,English tokenizer; POS from model tagger and attribute_ruler,NA for zero tokens; absent category is a valid 0 when annotations exist,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
writing_features_v2,8,pos_prop_verb,textdescriptives,2.8.4,pos_proportions,pos_prop_VERB,pos_composition,double,proportion,Larger means a larger share of VERB tokens; no universal quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; use_pos=True; add_all_tags=True,Count token.pos_ == VERB divided by len(doc); denominator includes punctuation and whitespace,English tokenizer; POS from model tagger and attribute_ruler,NA for zero tokens; absent category is a valid 0 when annotations exist,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
writing_features_v2,9,pos_prop_adj,textdescriptives,2.8.4,pos_proportions,pos_prop_ADJ,pos_composition,double,proportion,Larger means a larger share of ADJ tokens; no universal quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; use_pos=True; add_all_tags=True,Count token.pos_ == ADJ divided by len(doc); denominator includes punctuation and whitespace,English tokenizer; POS from model tagger and attribute_ruler,NA for zero tokens; absent category is a valid 0 when annotations exist,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
writing_features_v2,10,pos_prop_adv,textdescriptives,2.8.4,pos_proportions,pos_prop_ADV,pos_composition,double,proportion,Larger means a larger share of ADV tokens; no universal quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; use_pos=True; add_all_tags=True,Count token.pos_ == ADV divided by len(doc); denominator includes punctuation and whitespace,English tokenizer; POS from model tagger and attribute_ruler,NA for zero tokens; absent category is a valid 0 when annotations exist,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
writing_features_v2,11,pos_prop_pron,textdescriptives,2.8.4,pos_proportions,pos_prop_PRON,pos_composition,double,proportion,Larger means a larger share of PRON tokens; no universal quality direction,spacy=3.7.5; model=en_core_web_lg@3.7.1; default model pipeline; input text unchanged; use_pos=True; add_all_tags=True,Count token.pos_ == PRON divided by len(doc); denominator includes punctuation and whitespace,English tokenizer; POS from model tagger and attribute_ruler,NA for zero tokens; absent category is a valid 0 when annotations exist,https://hlasse.github.io/TextDescriptives/_modules/textdescriptives/components/pos_proportions.html
